Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
1898-01-01,1,1898,Unprovoked,Cuba,swimming,M,,fatal,Y,,Cuba,Cuba,Cuba,CU,CUB,53
1897-10-15,10,1897,Invalid,Mexico,diving,M,,injury,,,México,Mexico,Mexique,MX,MEX,52
1897-10-05,10,1897,Unprovoked,Marshall Islands,fishing,,,fatal,Y,,Islas Marshall,Marshall Islands,Iles Marshall,MH,MHL,692
1897-09-17,9,1897,Provoked,United States of America,fishing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1897-09-06,9,1897,Unprovoked,United States of America,standing,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1897-03-15,3,1897,Unprovoked,United States of America,fishing,M,,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1896-11-29,11,1896,Unprovoked,Australia,swimming,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1896-11-01,11,1896,Unprovoked,Australia,boating,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1896-07-25,7,1896,Unprovoked,United States of America,fishing,M,35.0,fatal,Y,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1896-06-21,6,1896,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1896-01-11,1,1896,Unprovoked,Australia,swimming,M,11.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1895-12-09,12,1895,Unprovoked,Australia,swimming,M,14.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1895-11-21,11,1895,Unprovoked,Barbados,diving,M,,injury,N,,Barbados,Barbados,Barbade,BB,BRB,1 246
1895-11-16,11,1895,Unprovoked,Australia,fishing,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
